surname,forename,date_of_birth,notes
"LORENSON","ROY","08-Apr-32",""
"LORNIE","JACK","02-Mar-39",""
"LOYDEN","EDDIE","22-Dec-45",""
"LUMBY","JIM","02-Oct-54",""
"MACKAY","WILLIAM","",""
"MADDOCKS","EMLYN","06-Jul-17",""
"MAHER","AIDEN","01-Dec-46",""
"MAHER","CYRIL","","Q2 1918"
"MAHON","ALAN","04-Apr-78",""
"MAJOR","BILL","14-Jan-11",""
"MALCOLM","JOHN","20-May-17",""
"MALKIN","CHRIS","04-Jun-67",""
"MANNING","1 JOHN","11-Dec-40",""
"MANNING","2 JOHN","11-Dec-40",""
"MARQUIS","FRED","15-Jun-99",""
"MARTIN","BARRIE","29-Sep-35",""
"MARTINDALE","DAVE","09-Apr-64",""
"MATHIAS","RAY","13-Dec-46",""
"MATTHEWS","VINCE","15-Jan-96",""
"MAYSON","JOHN","24-Oct-08",""
"MEACOCK","BOB","26-Jul-10",""
"MERCER","JOE","21-Jul-90",""
"MESTON","SAMMY","30-May-02",""
"MILLER","ALFORTH","27-Sep-14",""
"MILLER","DAVE","08-Jan-64",""
"MILLER","WILLIAM","19-Jul-10",""
"MILLINGTON","RALPH","18-Jun-30",""
"MILNER","JIMMY","03-Feb-33",""
"MILNES","CHARLES","","Q2 1885"
"MITCHELL","BARRIE","15-Mar-47",""
"MITCHELL","FRANK","25-May-90",""
"MOLYNEUX","BERNARD","17-Sep-33",""
"MOLYNEUX","FRED","25-Jul-44",""
"MOONEY","KEVIN","23-Aug-59",""
"MOORCROFT","DAVE","16-Mar-47",""
"MOORE","ERIC","16-Jul-26",""
"MOORE","IAN","26-Aug-76",""
"MOORE","MALCOLM","18-Dec-48",""
"MOORE","PATRICK","","c 1909"
"MOORE","1 RONNIE","29-Jan-53",""
"MOORE","2 RONNIE","29-Jan-53",""
"MOORHOUSE","GEORGE","04-Apr-01",""
"MORETON","JIMMY","22-Sep-91",""
"MORGAN","ALAN","02-Nov-73",""
"MORLEY","BRIAN","04-Oct-60",""
"MORRISSEY","JOHNNY","08-Mar-65",""
"MOUNTFIELD","DEREK","02-Nov-62",""
"MUIR","IAN","05-May-63",""
"MULKERRIN","JIMMY","25-Dec-31",""
"MUNGALL","STEVE","22-May-58",""
"MURPHY","BILL","23-Mar-95",""
"MURRAY","EDDIE","10-Jul-62",""
"MURRAY","TOMMY","14-Jan-33",""
"MYCOCK","TOM","22-Aug-23",""
"MacDONALD","JOHN","01-Sep-21",""
"MacDONALD","WILLIE","",""
"MacNAMEE","JOHN","31-Jul-42",""
"McAULEY","1 HUGHIE","08-Jan-53",""
"McAULEY","2 HUGHIE","08-Jan-53",""
"McBENNETT","SEAMUS","16-Nov-25",""
"McBURNEY","MIKE","12-Sep-53",""
"McCARRICK","MARK","04-Feb-62",""
"McDEVITT","KENNY","04-Mar-29",""
"McDONNELL","1 CHARLIE","15-Jul-36",""
"McDONNELL","2 CHARLIE","15-Jul-36",""
"McFARLAND","ROY","05-Apr-48",""
"McGRAE","JOE","24-Oct-03",""
"McGREAL","JOHN","02-Jun-72",""
"McGUGAN","JACKIE","12-Jun-39",""
"McGUIRE","REG","24-Aug-59",""
"McKAY","JAMES","11-Jun-18",""
"McKENNA","1 KENNY","02-Jul-60",""
"McKENNA","2 KENNY","02-Jul-60",""
"McLAREN","HUGH","13-Jan-01",""
"McLELLAN","ALISTAIR","16-Apr-22",""
"McMAHON","JOHN","07-Dec-49",""
"McMANUS","ERIC","14-Nov-50",""
"McMULLEN","TAN","17-Nov-65",""
"McMURRAY","ITOM","24-Jul-11",""
"McNAB","NEIL","04-Jun-57",""
"McNAMARA","DENNIS","08-Mar-35",""
"McVICAR","DON","06-Nov-62",""
"NAYLOR","TOMMY","",""
"NEILL","TOMMY","03-Oct-30",""
"NEVIN","1 PAT","06-Sep-63",""
"NEVIN","2 PAT","06-Sep-63",""
"NEWTON","PERCY","",""
"NIGHTINGALE","DAVID","15-Aug-27",""
